legacySku,newSku,zh_name,en_name_TODO,zh_desc,en_desc_TODO
1004722374459,ER-S011,猫咪蝴蝶结珍珠耳钉,Kitty Bow Pearl Studs,薰衣草紫 Hello Kitty 被一圈珍珠花环温柔围住，金边小蝴蝶结俏皮可爱，戴上耳畔甜得像融化的少女心。 [备注: 图片左侧为无蝴蝶结款。],"Lavender Hello Kitty wreathed in a pearl ring, with a tiny gold bow. Soft pastel charm for everyday."
1005383821991,ER-S012,卡通猫咪珍珠耳钉,Cartoon Cat Pearl Studs,奶橘色小猫探头望着金色小鱼，下方珍珠圆润如月，治愈温柔满满童趣，日常戴上耳畔像收藏一段午后甜梦。,"Cream-orange kittens gaze up at golden fish, with round pearls beneath. Warm, playful daily piece."
1005575893095,ER-S013,天使小熊镶钻耳钉,Angel Bear Crystal Studs,晶莹小熊被水滴钻翅膀温柔包围，胸前一颗圆钻闪着甜光，俏皮又灵动，戴上耳畔像揣着会发光的小天使。 [备注: 图中展示了金银两色共4只耳钉，分别为两对。],"Crystal-clear bears framed by teardrop zircon wings, holding a round zircon at the chest. Available in gold and silver."
1006950173014,ER-S014,Kitty星球镶钻耳钉,Kitty Halo Crystal Studs,"Hello Kitty 被一圈碎钻光环温柔托起，红色小蝴蝶结俏皮点睛，复古甜酷感拉满，约会派对戴上少女心爆棚。 [备注: 图中有4只,实际是2对]","Hello Kitty surrounded by a halo of pavé zircons, with a red bow accent. Vintage-pop styling."
1007557464870,ER-S015,粉色小熊珍珠耳钉,Pink Bear Pearl Studs,粉嫩小熊抱着一颗圆润珍珠，奶油白小爪子俏皮探出，糖果色调甜得发亮，戴上耳畔像揣着一块草莓奶油糖。,"Soft pink bears holding round pearls, with cream-white paws. Sweet candy-coloured charm."
1008470151870,ER-S016,小熊镶钻耳钉,Bear Crystal Studs,珍珠白小熊轻披玫瑰金斗篷，怀里抱着椭圆水钻，仿佛把童话装进耳畔，下午茶约会戴上甜得心动。,"Pearl-white bears in rose-gold capes, holding oval crystals. Storybook detailing for daily wear."
1008536919256,ER-S017,镂空蝴蝶锆石耳钉,Openwork Butterfly Zircon Studs,银色蝴蝶展翅停驻耳畔，镂空纹路细腻如薄翼，下方水滴锆石轻轻摇曳，温柔又灵动的小欢喜。,"Silver butterflies with finely cut openwork wings, swaying teardrop zircons hanging below."
1008933563329,ER-S018,KT猫珍珠闪钻耳钉,KT Cat Pearl Crystal Studs,圆润珍珠托起满钻 Kitty 头像，粉色蝴蝶结俏皮点缀，金银双色任你心动，闺蜜下午茶必备甜美派对单品。 [备注: 图中有金银两色可选],Round pearls support pavé-set Kitty heads with pink bow accents. Available in gold and silver.
1010431893144,ER-S019,Kitty樱桃珍珠耳钉,Kitty Cherry Pearl Studs,白色 Kitty 头像旁缀着碎钻樱桃叶尖，一颗圆润珍珠静静栖息，金银双色都温柔，仿佛把果园里的小心动戴上耳畔。,"White Kitty heads paired with zircon cherry leaves and a single round pearl. Soft, fruity charm."
1010432125929,ER-S020,闪钻Kitty猫耳钉,Sparkling Kitty Cat Studs,"金银双色满钻 Kitty 头像顶着粉色珐琅蝴蝶结，碎钻铺面闪耀俏皮神采，戴上瞬间被甜美少女气场温柔包围。 [备注: 提供镀金和镀银两种颜色,图片底部有产品编号。]","Fully pavé-set Kitty heads with pink enamel bows, in gold or silver. Dense crystal coverage for full sparkle."
1010497009074,ER-S021,萌猫蝴蝶结锆石耳钉,Cute Cat Bow Zircon Studs,"粉橘小猫脸庞乖巧探出，蝴蝶结点缀珍珠与碎钻，下方一簇水钻像踏进糖罐里跳舞，俏皮又灵动惹人心动。 [备注: 图中有4件,实际是2对(银+金)]","Pink-orange cat faces with bow accents in pearls and zircons, with cascading crystals below. Playful and feminine."
1011986440675,ER-S022,卡通猫咪锆石耳钉,Cartoon Cat Zircon Studs,金银双色满钻 Kitty 头戴粉色蝴蝶结端坐耳畔，怀里抱着方钻闪光，复古糖果感满满，甜美派对一秒拿捏少女心。 [备注: 图示为金色和银色两款。],"Pavé-set Kitty heads in pink bows, holding square zircons. Vintage candy-bright styling."
1011986440823,ER-S023,Hello Kitty 满钻耳钉,Hello Kitty Pavé Studs,金银双色满钻 Kitty 头顶粉蝴蝶结俏立耳畔，碎钻细密铺面像撒了一层糖霜，戴上瞬间被温柔甜软的少女气息环抱。 [备注: 图示包含金银两色款式。],"Fully pavé Kitty heads with pink bows, finely set with zircons in a frosted-sugar finish."
1038727223911,ER-S024,珍珠镶钻叶子耳钉,Pearl Crystal Leaf Studs,金色蝴蝶轻歇圆润珍珠之畔，碎钻翅尖与单粒马眼石点缀其间，温柔灵动的小心动，正适合午后阳光与你的耳畔。,"A gold butterfly rests beside a round pearl, accented by zircon wings and marquise stones."
677976835029,ER-S025,金色G形立体镶钻耳钉,Gold G-Shape Crystal Studs,金色月牙轻轻拥住中央大圆钻，细碎锆石围出柔光环边，俏皮又精致，戴上耳畔像挂了一颗心动小月亮。,"Crescents wrap around a central round zircon, with delicate zircon halos. Refined sculpted shape."
685060017817,ER-S026,锆石太阳花耳钉,Sunflower Zircon Studs,"梯形锆石围成绽放小花，中央圆钻像一颗心动星芒，金色与银色双款，甜美派对或日常通勤都闪耀少女心。 [备注: 图中含模特佩戴+品牌字样,建议参考右侧产品小图]",Trapezoidal zircons fan out as petals around a central round zircon. Available in gold and silver.
738874980980,ER-S027,银针花朵锆石耳钉,Floral Mini Zircon Studs Set,九款迷你耳饰萌系合集，小熊、星星、雪花、蝴蝶轮番登场，碎钻甜甜闪烁，每天换一对都能心动一整天。,"Nine pairs of mini studs — bears, stars, snowflakes and butterflies, each accented with delicate zircons."
739818947079,ER-S028,金色镶钻星星耳钉,Gold Star Crystal Studs,"金色镂空五角星点缀细密碎钻，中央一颗小圆钻轻轻闪烁，俏皮灵动像别在耳畔的小星愿，约会甜甜心动。 [备注: 背景有米色器皿和暖色道具,产品本身清晰]","Openwork five-point gold stars set with delicate zircons, with a small round zircon at the center."
853067595037,ER-S029,银色水滴弯钩耳钉,Silver Teardrop Hook Earrings,饱满水滴造型流畅利落，银色镜面反射着柔和光晕，没有多余装饰却自带高级气场，通勤还是派对都酷得很优雅。,"Smooth teardrop silhouette with a polished silver mirror finish. Clean, undecorated lines for an elevated look."
855099954494,ER-S030,金色花朵耳钉,Gold Floral Studs,金色花瓣轻盈舒展中心一颗碎钻轻闪，每一片都像被风吹起的丝带，柔美灵动，约会派对都让人忍不住多看一眼。 [备注: 图为系列展示图，左为模特佩戴，右上为本款花朵耳钉，右下另款不计],Soft gold petals open around a central zircon. Each petal mimics a ribbon caught in the breeze.
903673417422,ER-S031,满钻四叶草耳钉,Pavé Clover Studs,金色四叶草满镶碎钻细密如糖霜，幸运形状被光泽温柔包裹，戴上像把小确幸藏进耳畔，甜美又自带高级气场。 [备注: 图为系列展示图，左为模特佩戴，右侧为本款四叶草耳钉两视角],Gold four-leaf clovers densely set with zircons. Lucky symbol with full sparkle and a refined finish.
904086472340,ER-S032,方钻菱形耳钉,Square Zircon Rhombus Studs,粉紫方钻被金边稳稳托住，棱角折射出柔光像被糖渍过的水晶，复古中带一丝甜酷，通勤约会都能戴出小心机。 [备注: 图为系列展示图，左为模特佩戴，右侧为本款方钻耳钉],"Pink-purple square zircons set in gold bezels, refracting soft light. Vintage tones with a modern edge."
905758610198,ER-S033,缠绕珍珠玫瑰耳钉,Wrapped Pearl Rose Studs,细金线缠绕成花苞托住一颗珠光珍珠，简约不简单的小巧造型温柔灵动，金银双色都甜，是日常优雅的小心动。 [备注: 图中为同款金银两对耳钉],Fine gold wires wrap around a pearl bud. Compact and refined — available in gold and silver.
905766274109,ER-S034,锆石八芒星耳钉,Zircon Eight-Point Star Studs,密镶碎钻拼成纤长六角星芒，中心一颗方钻闪耀如夜空繁星，戴上瞬间气场全开，派对约会都心动。 [备注: 图为系列展示图，左为模特佩戴，右侧为本款八芒星耳钉两视角],"Pavé zircons form elongated six-point stars, with a central square zircon. High-impact statement pair."
911348883467,ER-S035,锆石水滴耳钉,Gold Bow Studs,纤细碎钻交错成北极星造型，中心一颗方钻闪着冷冽星光，像把整片夜空别上耳畔，清冷又心动的少女感拉满。 [备注: 参考帧改为 04.jpg: gold bow earrings on pure white | 拼图含多款，本SKU为模特耳上+右上水滴款；建议替换为单品白底图 | ⚠ 新参考帧实为金色蝴蝶结(原名'蛋白石水滴'存疑)],"Slim gold bows set with delicate zircons, polished mirror finish. Playful elegance for daily wear."
911368307812,ER-S036,锆石小太阳耳钉,Silver Sunburst Studs,金色细线交叉勾出小水滴，中心一颗圆钻被温柔环抱，碎钻光晕层层晕开，像把闪烁的小心愿挂上耳畔，甜美又精致。 [备注: 参考帧改为 04.jpg: silver sunburst studs on white | 拼图含多款，本SKU为模特耳上+右下太阳款；建议替换为单品白底图],"Fine gold lines form teardrop bursts around a central round zircon, halos of light radiating outward."
912147205864,ER-S037,黑钻三角耳钉,Black Trillion Zircon Studs,饱满黑钻被金边温柔包住，外圈细密碎钻像撒了一圈星星，深邃中藏着小俏皮，复古通勤都能戴出气场小心机。 [备注: 参考帧改为 05.jpg: black trillion gem studs on white | 拼图含多款，本SKU为模特耳上+右上金框黑三角款；建议替换为单品图 | ⚠ 新参考帧实为黑色三角钻(原名'雪花'存疑)],"A bold black zircon set in a gold bezel, ringed with a halo of small zircons. Vintage-confident styling."
912610952300,ER-S038,锆石珍珠花环耳钉,Gold X Pearl Studs,金色细枝围出花环托住一颗珠光珍珠，碎钻像晨露点缀其间，温柔得像把刚摘下的小白花别上耳畔，甜美又灵动。 [备注: 参考帧改为 05.jpg: gold X pearl studs on white | 拼图含多款，本SKU为模特耳上花环款；建议替换为单品白底图],"Fine gold branches form a wreath around a single pearl, with delicate zircons set like dewdrops."
917584065889,ER-S039,锆石镂空蝴蝶耳钉,Openwork Zircon Butterfly Studs,镂空蝴蝶振翅而立，外缘碎钻细密闪着柔光，金银双色任你挑，戴上像把春日花园悄悄收进耳畔，浪漫又轻盈。 [备注: 图中为同款金银两对耳钉，置于棕色绒面礼盒中],Openwork butterflies with zircon-set outer edges. Available in gold and silver pairs.
931486784727,ER-S040,贝母四叶花耳钉,Mother-of-Pearl Clover Studs,几朵贝母小花簇拥成团，泛着珠光的花瓣点缀碎钻，像把一捧奶油色绣球花别上耳畔，甜美梦幻又自带春日气息。,Cluster of mother-of-pearl petals accented with zircon centers. Cream-toned and softly luminous.
938271495900,ER-S041,贝母四芒星方耳钉,Mother-of-Pearl Star Square Studs,白贝母方块上立体十字星熠熠生辉，外圈碎钻包边闪着柔光，复古中带一点星空感，戴上瞬间气质温润又心动。,"White mother-of-pearl squares with raised cross-stars, framed by zircon borders. Refined vintage geometry."
938276267024,ER-S042,方形猫眼石耳钉,Square Cat's-Eye Studs,饱满月光石被金银异形花边温柔托住，泛着奶白光泽像凝固的小月亮，复古中带一丝俏皮，通勤约会都温润高级。 [备注: 图中4件实际是2对(银+金)],"Plump cat's-eye stones set in shaped gold or silver bezels, with milky luster. Subtle vintage tones."
939813516518,ER-S043,六爪经典锆石耳钉,Six-Prong Classic Zircon Studs,六爪银托稳稳托住一颗大粒亮钻，简约造型把光泽全部留给宝石，黑绿白三色任你切换心情，复古高级又自带气场。 [备注: 参考帧改为 05.jpg: black round CZ studs on white | 拼图含多色多角度，建议左侧大图作参考 | ⚠ 新参考帧实为黑钻六爪(原名'六爪经典锆石'仅颜色不同)],"Six-prong silver settings hold large round zircons. Available in black, green and white — clean, classic styling."
956594438434,ER-S044,方框珍珠镶钻耳钉,Square Pearl Zircon Frame Studs,方形锆石框里藏着圆润珍珠，金银双色温柔点亮耳畔，复古优雅中带一点甜，约会和下午茶都心动。 [备注: 拼图含上身与多色款，建议右上产品图作参考],Square zircon frames hold round pearls. Available in gold and silver — refined daily piece.
957279069385,ER-S045,珍珠百搭耳钉合集,Pearl Versatile Studs Collection,六对珍珠耳钉拼成一整盒小欢喜，方圆花朵造型各有心意，银色光泽柔美闪耀，每天换一对都是新鲜小情绪。 [备注: 参考帧改为 05.jpg: silver bow pearl studs on white | 图中含5-6款不同样式，需指定具体款式],"Six pairs of pearl studs in a single set — square, round and floral shapes in soft silver finishes."
957865688690,ER-S046,珍珠花形耳钉合集,Pearl Floral Studs Collection,蝴蝶结、花朵、方框轮番登场托住珍珠，金银双色甜美交织，像把一整盒糖果装进耳畔，俏皮又浪漫。 [备注: 参考帧改为 05.jpg: gold rope pearl studs on white | 图中含4款不同样式金银双色，需指定具体款式],"Bow, floral and frame designs paired with pearls. Mixed gold and silver — a versatile boxed set."
979956935294,ER-S047,麻花镶钻珍珠耳钉,Twisted Zircon Pearl Studs,锆石编织成花环温柔环抱珍珠，金银双色在阳光下闪着甜糖般的光，像一句轻轻说出口的 happy every day。 [备注: 图中3对实际是金银双色款],Zircon wreaths embrace round pearls. Available in gold and silver pairs with crisp light play.
980458990893,ER-S048,蝴蝶结珍珠迷你耳钉,Bow Pearl Mini Studs,小蝴蝶振翅落在珍珠肩头，碎钻铺出柔光翅膀，金银双色俏皮闪耀，戴上像把午后阳光别进耳畔。 [备注: 图中4件实际是2对(银+金)],"Tiny butterflies perch on round pearl shoulders, with zircon-set wings. Available in gold and silver."
981230369508,ER-S049,珍珠交叉锆石耳钉,Pearl Cross Zircon Studs,珍珠顶着小巧 X 字锆石飘带，金银双色俏皮跳跃，像写给恋人的甜蜜便签，约会戴它温柔又有少女感。 [备注: 图中4件实际是2对(银+金)],Round pearls topped with a small X-shaped zircon ribbon. Available in gold and silver pairs.
981458587609,ER-S050,锆石蝴蝶结耳钉,Zircon Bow Studs,锆石细链斜挂耳畔，灵动跳跃像一行手写情书，金银双色闪着甜糖光泽，戴上瞬间俏皮又浪漫。 [备注: 图中4件实际是2对(银+金)],Slim zircon chains drape diagonally from the lobe. Available in gold and silver pairs.
981470475114,ER-S051,珍珠星轨锆石耳钉,Pearl Star Orbit Studs,圆润珍珠被锆石光圈温柔环抱，挂耳设计随步摇曳，金银双色闪着甜甜光泽，复古优雅一秒上身。 [备注: 图中4件实际是2对(银+金)],"Round pearls embraced by zircon halos, with gentle hanging motion. Available in gold and silver."
981578579623,ER-S052,贝母贝壳耳钉,Mother-of-Pearl Shell Studs,贝母小贝壳点缀金边银边，纹理像海浪轻轻荡漾，俏皮中带一点海洋系少女心，夏日出街最心动。 [备注: 图中4件实际是2对(银+金)],"Mother-of-pearl shells with gold or silver edging, ridged textures suggesting ocean ripples."
981587183003,ER-S053,猫眼石阴阳圆耳钉,Cat's-Eye Yin-Yang Round Studs,圆形耳钉一半温润贝母一半碎钻铺面，像把月亮和星河同时戴进耳畔，复古优雅又灵动闪耀。 [备注: 图中4件实际是2对(银+金)],Round studs split between mother-of-pearl and pavé zircons. Available in gold and silver pairs.
981597855648,ER-S054,方钻光环耳钉,Square Zircon Halo Studs,方形锆石主石被一圈碎钻温柔簇拥，金银双色折射出甜糖般的光，闪耀俏皮，派对出席最有心动感。 [备注: 图中4件实际是2对(银+金)，背景为木质戒指托盘],Square center zircons embraced by halos of pavé stones. Available in gold and silver pairs.
981875372127,ER-S055,满钻凯蒂猫耳钉,Pavé Hello Kitty Studs,Hello Kitty 小猫脸铺满细密锆石，金银双色甜酷可爱，戴上像把童年甜梦揣进耳畔，俏皮又少女。 [备注: 图中4件实际是2对(银+金)],Hello Kitty silhouettes fully pavé-set with zircons. Available in gold and silver pairs.
982023078416,ER-S056,贝母蝴蝶耳钉,Mother-of-Pearl Butterfly Studs,白贝母蝴蝶轻轻栖在金银边框中，翅膀纹理柔光闪烁，俏皮灵动满是夏日浪漫，戴上瞬间气质轻盈。 [备注: 图中4件实际是2对(银+金)],"White mother-of-pearl butterflies framed in gold or silver, with subtly textured wings."
982149474135,ER-S057,贝母小熊耳钉,Mother-of-Pearl Bear Studs,贝母小熊憨态可掬地托在金银边框里，柔光流转俏皮可爱，把童年欢喜变成耳畔小心动，甜美又减龄。 [备注: 图中4件实际是2对(银+金)],Mother-of-pearl bear silhouettes inset in gold or silver frames. Soft and playful daily piece.
982715645101,ER-S058,井字九钻耳钉,Tic-Tac-Toe Nine-Stone Studs,九颗圆锆石被金银十字格框起，像一格格糖果橱窗闪着光，复古俏皮中带几分精致，约会通勤都心动。 [备注: 图中4件实际是2对(银+金)],Nine round zircons set in a 3×3 grid in gold or silver. Geometric and precise styling.
982762645031,ER-S059,贝母爱心镂空耳钉,Mother-of-Pearl Heart Openwork Studs,贝母心形被金银线条勾勒包裹，柔光温润又俏皮甜美，戴上像把心动小秘密藏在耳畔，约会甜度爆表。 [备注: 图中4件实际是2对(银+金)],Mother-of-pearl hearts framed by gold or silver linework. Soft luster with a gentle silhouette.
982858053702,ER-S060,贝母方形交织耳钉,Mother-of-Pearl Pinwheel Studs,贝母方块如丝带缠绕成小风车，金色配碎钻、银色配灰贝母，几何感里藏着复古优雅，气质温柔精致。 [备注: 图中4件实际是2对(金+银)；背景有木质相框边缘],"Mother-of-pearl squares woven into pinwheel forms. Gold paired with zircons, silver paired with grey shell."
982887597164,ER-S061,锆石环绕珍珠耳钉,Twisted Zircon Pearl Studs,金银扭花瓣温柔环抱圆润珍珠，像一朵正在旋转的小花，柔美闪耀又带一点复古，约会下午茶都心动。 [备注: 图中4件实际是2对(金+银)],"Twisted gold or silver petals embrace a round pearl, with rotating floral motion."
983537288780,ER-S062,扇形锆石花束耳钉,Fan Zircon Bouquet Studs,梨形大钻被长条锆石如花瓣环绕，金银双色折射出梦幻彩光，闪耀华丽又带几分温柔，派对出席最心动。 [备注: 图中4件实际是2对(金+银)],Pear-shaped center zircons surrounded by elongated zircon petals. Available in gold and silver.
983549132008,ER-S063,三叶水滴锆石耳钉,Three-Leaf Drop Zircon Studs,三片梨形大锆石拼成俏皮三叶花，金银双色透出清透甜糖光泽，灵动闪耀又轻盈优雅，约会出街都心动。 [备注: 图中4件实际是2对(金+银)],Three pear-shaped zircons form a trefoil flower. Available in gold and silver pairs with crisp brilliance.
998916103426,ER-S064,焦糖珐琅玫瑰耳钉,Caramel Enamel Rose Studs,焦糖色山茶花层层绽放，珍珠藏在花心被碎钻边缘温柔托住，复古暖调像下午茶里的奶油糖花，秋日穿搭瞬间柔美起来。 [备注: 背景有牛皮纸与绿叶道具],"Caramel-toned camellia roses with pearl centers, framed by zircon borders. Warm autumn palette."
998921166600,ER-S065,锆石花边珍珠耳钉,Zircon Lace Pearl Studs,水滴珍珠裹在银色花瓣边框里，外圈碎钻细密绕成蕾丝，温润珠光与冷调闪烁交织，像把月光封进耳畔的小情书般柔美。 [备注: 背景有绿叶与白板道具],"Teardrop pearls set in silver petal frames, surrounded by lace-like zircon halos."
998925150567,ER-S066,珍珠方形蕾丝耳钉,Pearl Square Lace Studs,镂空蕾丝方框由细密碎钻一圈圈编成，中央珍珠饱满圆润落在窗心，复古宫廷感扑面而来，闺蜜下午茶里立刻变身小公主。 [备注: 图中含绿叶道具但产品清晰],Openwork zircon square lace frames cradle a center pearl. Vintage court-style detailing.
999405149426,ER-S067,珍珠蝴蝶结耳钉,Pearl Bow Studs,饱满珍珠端坐顶端，金色蝴蝶结展开层层碎钻翅膀，复古优雅又带点俏皮，像把祖母的小情书写进耳畔，柔美又心动。 [备注: 背景有绿叶和麻绳道具],Pearls set above gold bows with tiered zircon-set wings. Vintage-romantic styling.
999518254989,ER-S068,金色褶皱珍珠耳钉,Gold Ruffle Pearl Studs,金色不规则褶皱花边裹住一颗温润珍珠，像被阳光揉皱的小贝壳，复古手作感十足，简约日常里藏着一点点闪闪的少女心。 [备注: 皱纸背景需替换为纯白底],Irregular ruffled gold edges wrap a round pearl. Hand-finished vintage texture.
999546691932,ER-S069,金色扇形珍珠耳钉,Gold Fan Pearl Studs,金色蕾丝小扇半开半合，扇面碎钻细密点缀，下端饱满珍珠落于扇心，复古东方韵味温柔流转，戴上像偷藏了一段小心事。,"Half-open gold lace fans set with delicate zircons, with a single pearl at the base. Eastern-inspired silhouette."
1000013192066,ED-S001,铜色花朵垂坠耳坠,Copper Floral Drop Earrings,玫瑰金小花温柔绽放，银色描边勾出花瓣轮廓，中心一颗碎钻悄悄眨眼，灵动俏皮，午后约会戴上甜甜上扬。,"Rose-gold florals outlined in silver, with a small zircon at each center. Light and graceful drop earrings."
1000450553935,ED-S002,珍珠方钻垂坠耳环,Pearl Square Crystal Drop Earrings,金色长方形耳钉镶满细钻，下方一颗大珍珠圆润垂落，光泽流转间满是温柔仪式感，约会出席都心动闪耀。,"Gold rectangular studs pavé-set with zircons, finished with large round pearls suspended below."
1001623380595,ED-S003,珍珠锆石风车耳坠,Pearl Zircon Pinwheel Drop Earrings,金色烟花绽放成耳钉，下方一颗珍珠轻轻摇曳，碎钻沿着花丝闪烁，像把节日烟火戴上耳畔，浪漫又灵动。,"Gold burst studs with a single pearl swaying below, zircons set along the rays."
1004774982732,ED-S004,闪钻猫咪珍珠耳坠,Sparkling Cat Pearl Drop Earrings,Kitty 满钻头像下垂着一颗圆润珍珠，金色小蝴蝶结点睛俏皮，闪耀又甜蜜，闺蜜聚会戴上瞬间笑出小酒窝。 [备注: 提供金/银双色],"Pavé Kitty studs with round pearls dropping below, accented by gold bows. Available in gold and silver."
1006328244906,ED-S005,猫咪珍珠花朵耳坠,Cat Pearl Floral Drop Earrings,珍珠小花托着橘虎斑小猫俏皮垂落，奶油色脸蛋圆嘟嘟惹人爱，复古童趣感满分，约会戴上耳畔甜软心动。,"Pearl florals support a tiger-stripe orange kitten that hangs below. Cream-toned, playful styling."
837784748709,ED-S006,极简珍珠耳钩,Minimalist Pearl Hook Earrings,一颗饱满珍珠被纤细弯钩温柔托住，金银双色干净利落，光泽柔和如初雪，戴上瞬间气质轻盈，是日常优雅的小私心。 [备注: 图中为同款金银两对，共四只耳钩],A single round pearl held in a slim hook setting. Available in gold and silver pairs with soft luster.
844470347174,ED-S007,锆石蝴蝶结耳坠,Zircon Bow Drop Earrings,金色蝴蝶结牵起方钻与水滴，飘带轻盈摆出俏皮弧度，像把礼物绑进耳畔，甜酷少女感拉满，闺蜜聚会回头率超高。 [备注: 图中为同款金银两对耳坠],"Gold bows hold square zircons and teardrops, ribbon trails arching playfully. Available in gold and silver."
844471739349,ED-S008,猫眼石小猫耳坠,Cat's-Eye Cat Drop Earrings,圆润猫眼石化作软萌小猫脸，下方点缀粉钻蝴蝶结与摇摆鱼尾，奶白与玫瑰金交织出甜甜的梦幻感，可爱到犯规。 [备注: 图中为同款金银两对耳坠],Round cat's-eye stones shaped into cat faces with pink zircon bows and tail accents. Cream and rose-gold tones.
930040575658,ED-S009,蝴蝶结流苏长耳坠,Bow Tassel Long Earrings,金色蝴蝶结轻盈停驻，下方流苏细链点缀碎钻自然垂落，像被风吹乱的金色阳光，灵动柔美，转头都自带气质。,"Gold bows top a cascade of fine tassel chains set with delicate zircons. Light, fluid movement."
939290237644,ED-S010,蝴蝶结猫眼石耳坠,Bow Cat's-Eye Drop Earrings,金色蝴蝶结轻盈一系，下方圆润月光石饱满垂落，像把一颗小奶糖悬在耳畔，甜美又复古，约会出街都心动加分。 [备注: 参考帧改为 05.jpg: gold opal drops on white | 拼图含上身与多角度，建议右上产品图作参考],Gold bows hold a single round moonstone below. Vintage-soft styling for elegant occasions.
953229713357,ED-S011,婚宴满钻珍珠耳坠,Bridal Pavé Pearl Drop Earrings,金色叶片层层叠叠托起方钻与水滴，碎钻沿轮廓闪闪发亮，像被晨露洗过的繁花，戴上瞬间复古优雅又自带星光。 [备注: 参考帧改为 05.jpg: silver leaf drop earrings on white | 图中含3-4款不同样式，建议指定具体款式后用单品图],"Layered gold leaves support square zircons and teardrops, with zircons set along every contour."
953816596855,ED-S012,婚礼水滴满钻耳坠,Wedding Teardrop Pavé Drop Earrings,水滴主钻被密密碎钻簇拥垂落，整副像把闪烁的小吊灯挂上耳畔，光泽层层叠叠，约会派对都能戴出复古名媛感。 [备注: 参考帧改为 05.jpg: silver flower drop earrings on white | 图中含5款不同样式，需指定具体款式后用单品图],"A teardrop center stone surrounded by densely set zircons, cascading like miniature chandeliers."
980546958695,ED-S013,贝母满钻流苏长耳坠,Mother-of-Pearl Pavé Tassel Drop Earrings,金色椭圆贝母为顶，长长流苏链如星雨倾泻，灵动闪耀又带几分性感，派对出街都是全场焦点。,Oval mother-of-pearl tops with long tasseled chain falls. Light and shimmering for evening wear.
